statement_id,statement_date,period_start,period_end,landlord_reg_number,landlord_name,landlord_email,landlord_phone,landlord_address,bank_account_name,bank_name,bank_account_number,bank_sort_code,property_alias,property_type,property_address,property_city,property_postcode,property_bedrooms,tenant_first_name,tenant_last_name,tenant_email,tenant_phone,lease_start_date,lease_end_date,lease_monthly_rent,lease_deposit_amount,assigned_agent_name,assigned_agent_role,assigned_agent_email,rent,management_fee,repair,deposit,misc,total,contractor_company,contractor_contact,contractor_phone,contractor_service_type,note,pay_date
3889,06/01/2023,06/01/2023,6/30/2023,7384219/118/10028,James McAllister,james.mcallister@email.com,07700 900101,"45 High Street, Glasgow, G1 1AA",James McAllister,Bank of Scotland,12345678,80-11-22,"97B Dempster Road,PA15 4ED",Flat,97B Dempster Road,Greenock,PA15 4ED,2,John,Murray,j.murray@email.com,07756 789012,2024-05-26,,425,425,Emma Thompson,Property Manager,emma.t@agency.com,350,35,0,0,0,315,,,,,,06/01/2023
4925,07/03/2023,07/01/2023,7/31/2023,7384219/118/10028,James McAllister,james.mcallister@email.com,07700 900101,"45 High Street, Glasgow, G1 1AA",James McAllister,Bank of Scotland,12345678,80-11-22,"97B Dempster Road,PA15 4ED",Flat,97B Dempster Road,Greenock,PA15 4ED,2,John,Murray,j.murray@email.com,07756 789012,2024-05-26,,425,425,Emma Thompson,Property Manager,emma.t@agency.com,350,35,0,0,0,315,,,,,,07/04/2023
4962,08/01/2023,08/01/2023,8/31/2023,7384219/118/10028,James McAllister,james.mcallister@email.com,07700 900101,"45 High Street, Glasgow, G1 1AA",James McAllister,Bank of Scotland,12345678,80-11-22,"97B Dempster Road,PA15 4ED",Flat,97B Dempster Road,Greenock,PA15 4ED,2,John,Murray,j.murray@email.com,07756 789012,2024-05-26,,425,425,Emma Thompson,Property Manager,emma.t@agency.com,350,35,0,0,0,315,,,,,,08/01/2023
5003,09/01/2023,09/01/2023,9/30/2023,7384219/118/10028,James McAllister,james.mcallister@email.com,07700 900101,"45 High Street, Glasgow, G1 1AA",James McAllister,Bank of Scotland,12345678,80-11-22,"97B Dempster Road,PA15 4ED",Flat,97B Dempster Road,Greenock,PA15 4ED,2,John,Murray,j.murray@email.com,07756 789012,2024-05-26,,425,425,Emma Thompson,Property Manager,emma.t@agency.com,350,35,0,0,0,315,,,,,,09/01/2023
5044,10/03/2023,10/01/2023,10/31/2023,7384219/118/10028,James McAllister,james.mcallister@email.com,07700 900101,"45 High Street, Glasgow, G1 1AA",James McAllister,Bank of Scotland,12345678,80-11-22,"97B Dempster Road,PA15 4ED",Flat,97B Dempster Road,Greenock,PA15 4ED,2,John,Murray,j.murray@email.com,07756 789012,2024-05-26,,425,425,Emma Thompson,Property Manager,emma.t@agency.com,350,35,0,0,0,315,,,,,,10/03/2023
5078,11/01/2023,11/01/2023,11/30/2023,7384219/118/10028,James McAllister,james.mcallister@email.com,07700 900101,"45 High Street, Glasgow, G1 1AA",James McAllister,Bank of Scotland,12345678,80-11-22,"97B Dempster Road,PA15 4ED",Flat,97B Dempster Road,Greenock,PA15 4ED,2,John,Murray,j.murray@email.com,07756 789012,2024-05-26,,425,425,Emma Thompson,Property Manager,emma.t@agency.com,350,35,0,0,0,315,,,,,,11/01/2023
7045,12/01/2023,12/01/2023,12/31/2023,7384219/118/10028,James McAllister,james.mcallister@email.com,07700 900101,"45 High Street, Glasgow, G1 1AA",James McAllister,Bank of Scotland,12345678,80-11-22,"97B Dempster Road,PA15 4ED",Flat,97B Dempster Road,Greenock,PA15 4ED,2,John,Murray,j.murray@email.com,07756 789012,2024-05-26,,425,425,Emma Thompson,Property Manager,emma.t@agency.com,350,35,0,0,0,315,,,,,,12/01/2023
8091,02/01/2024,01/01/2024,1/31/2024,7384219/118/10028,James McAllister,james.mcallister@email.com,07700 900101,"45 High Street, Glasgow, G1 1AA",James McAllister,Bank of Scotland,12345678,80-11-22,"97B Dempster Road,PA15 4ED",Flat,97B Dempster Road,Greenock,PA15 4ED,2,John,Murray,j.murray@email.com,07756 789012,2024-05-26,,425,425,Emma Thompson,Property Manager,emma.t@agency.com,350,35,0,0,0,315,,,,,,02/02/2024
8116,03/01/2024,02/01/2024,2/29/2024,7384219/118/10028,James McAllister,james.mcallister@email.com,07700 900101,"45 High Street, Glasgow, G1 1AA",James McAllister,Bank of Scotland,12345678,80-11-22,"97B Dempster Road,PA15 4ED",Flat,97B Dempster Road,Greenock,PA15 4ED,2,John,Murray,j.murray@email.com,07756 789012,2024-05-26,,425,425,Emma Thompson,Property Manager,emma.t@agency.com,350,35,0,0,0,315,,,,,,03/01/2024
9128,04/02/2024,03/01/2024,3/30/2024,7384219/118/10028,James McAllister,james.mcallister@email.com,07700 900101,"45 High Street, Glasgow, G1 1AA",James McAllister,Bank of Scotland,12345678,80-11-22,"97B Dempster Road,PA15 4ED",Flat,97B Dempster Road,Greenock,PA15 4ED,2,John,Murray,j.murray@email.com,07756 789012,2024-05-26,,425,425,Emma Thompson,Property Manager,emma.t@agency.com,303.33,30.33,0,0,0,273,,,,,,04/02/2024
9161,4/26/2024,04/01/2024,4/30/2024,7384219/118/10028,James McAllister,james.mcallister@email.com,07700 900101,"45 High Street, Glasgow, G1 1AA",James McAllister,Bank of Scotland,12345678,80-11-22,"97B Dempster Road,PA15 4ED",Flat,97B Dempster Road,Greenock,PA15 4ED,2,John,Murray,j.murray@email.com,07756 789012,2024-05-26,,425,425,Emma Thompson,Property Manager,emma.t@agency.com,920.83,425,0,360,0,135.83,,,,,,4/27/2024
9186,06/03/2024,5/26/2024,6/25/2024,7384219/118/10028,James McAllister,james.mcallister@email.com,07700 900101,"45 High Street, Glasgow, G1 1AA",James McAllister,Bank of Scotland,12345678,80-11-22,"97B Dempster Road,PA15 4ED",Flat,97B Dempster Road,Greenock,PA15 4ED,2,John,Murray,j.murray@email.com,07756 789012,2024-05-26,,425,425,Emma Thompson,Property Manager,emma.t@agency.com,425,42.5,189,0,0,193.5,SafeGas Services,Bob Williams,0141 445 3333,Gas/Heating,"gas safety, credit check",06/03/2024
9216,07/03/2024,6/26/2024,7/25/2024,7384219/118/10028,James McAllister,james.mcallister@email.com,07700 900101,"45 High Street, Glasgow, G1 1AA",James McAllister,Bank of Scotland,12345678,80-11-22,"97B Dempster Road,PA15 4ED",Flat,97B Dempster Road,Greenock,PA15 4ED,2,John,Murray,j.murray@email.com,07756 789012,2024-05-26,,425,425,Emma Thompson,Property Manager,emma.t@agency.com,425,42.5,0,0,0,382.5,,,,,,07/04/2024
9240,08/01/2024,7/26/2024,8/25/2024,7384219/118/10028,James McAllister,james.mcallister@email.com,07700 900101,"45 High Street, Glasgow, G1 1AA",James McAllister,Bank of Scotland,12345678,80-11-22,"97B Dempster Road,PA15 4ED",Flat,97B Dempster Road,Greenock,PA15 4ED,2,John,Murray,j.murray@email.com,07756 789012,2024-05-26,,425,425,Emma Thompson,Property Manager,emma.t@agency.com,425,42.5,0,0,0,382.5,,,,,,08/02/2024
9270,09/02/2024,8/26/2024,9/25/2024,7384219/118/10028,James McAllister,james.mcallister@email.com,07700 900101,"45 High Street, Glasgow, G1 1AA",James McAllister,Bank of Scotland,12345678,80-11-22,"97B Dempster Road,PA15 4ED",Flat,97B Dempster Road,Greenock,PA15 4ED,2,John,Murray,j.murray@email.com,07756 789012,2024-05-26,,425,425,Emma Thompson,Property Manager,emma.t@agency.com,425,42.5,84,0,0,298.5,SafeGas Services,Bob Williams,0141 445 3333,Gas/Heating,call out no heating or hot water uneconomical repair,09/02/2024
9300,10/02/2024,9/26/2024,10/25/2024,7384219/118/10028,James McAllister,james.mcallister@email.com,07700 900101,"45 High Street, Glasgow, G1 1AA",James McAllister,Bank of Scotland,12345678,80-11-22,"97B Dempster Road,PA15 4ED",Flat,97B Dempster Road,Greenock,PA15 4ED,2,John,Murray,j.murray@email.com,07756 789012,2024-05-26,,425,425,Emma Thompson,Property Manager,emma.t@agency.com,425,42.5,0,0,15.3,367.2,,,,,Rent guarantee,10/02/2024
9327,11/01/2024,10/26/2024,11/25/2024,7384219/118/10028,James McAllister,james.mcallister@email.com,07700 900101,"45 High Street, Glasgow, G1 1AA",James McAllister,Bank of Scotland,12345678,80-11-22,"97B Dempster Road,PA15 4ED",Flat,97B Dempster Road,Greenock,PA15 4ED,2,John,Murray,j.murray@email.com,07756 789012,2024-05-26,,425,425,Emma Thompson,Property Manager,emma.t@agency.com,425,42.5,330,15.3,0,37.2,,,,,,11/02/2024
9361,12/02/2024,11/26/2024,12/25/2024,7384219/118/10028,James McAllister,james.mcallister@email.com,07700 900101,"45 High Street, Glasgow, G1 1AA",James McAllister,Bank of Scotland,12345678,80-11-22,"97B Dempster Road,PA15 4ED",Flat,97B Dempster Road,Greenock,PA15 4ED,2,John,Murray,j.murray@email.com,07756 789012,2024-05-26,,425,425,Emma Thompson,Property Manager,emma.t@agency.com,425,42.5,203.47,0,0,179.03,,,,,,12/02/2024
9396,01/04/2025,12/26/2024,1/25/2025,7384219/118/10028,James McAllister,james.mcallister@email.com,07700 900101,"45 High Street, Glasgow, G1 1AA",James McAllister,Bank of Scotland,12345678,80-11-22,"97B Dempster Road,PA15 4ED",Flat,97B Dempster Road,Greenock,PA15 4ED,2,John,Murray,j.murray@email.com,07756 789012,2024-05-26,,425,425,Emma Thompson,Property Manager,emma.t@agency.com,425,42.5,0,0,15.3,367.2,,,,,rent guarantee,01/04/2025
1780,1/17/2023,12/15/2022,3/14/2023,8642097/210/20001,Sarah Henderson,sarah.henderson@email.com,07700 900102,"12 Queen Street, Edinburgh, EH2 1AB",Sarah Henderson,Royal Bank of Scotland,23456789,83-22-33,"38 Arranview Street, ML6 8XN",Terraced,38 Arranview Street,Airdrie,ML6 8XN,3,David,Taylor,d.taylor@email.com,07734 567890,2023-07-15,,525,525,Emma Thompson,Property Manager,emma.t@agency.com,1645,164.5,1150,0,0,330.5,General Maintenance Co,Tom Brown,0141 445 7777,General,repair,1/17/2023
1801,2/21/2023,3/15/2023,4/14/2023,8642097/210/20001,Sarah Henderson,sarah.henderson@email.com,07700 900102,"12 Queen Street, Edinburgh, EH2 1AB",Sarah Henderson,Royal Bank of Scotland,23456789,83-22-33,"38 Arranview Street, ML6 8XN",Terraced,38 Arranview Street,Airdrie,ML6 8XN,3,David,Taylor,d.taylor@email.com,07734 567890,2023-07-15,,525,525,Emma Thompson,Property Manager,emma.t@agency.com,525,52.5,0,0,0,472.5,,,,,,2/21/2023
1850,3/20/2023,4/15/2023,5/14/2023,8642097/210/20001,Sarah Henderson,sarah.henderson@email.com,07700 900102,"12 Queen Street, Edinburgh, EH2 1AB",Sarah Henderson,Royal Bank of Scotland,23456789,83-22-33,"38 Arranview Street, ML6 8XN",Terraced,38 Arranview Street,Airdrie,ML6 8XN,3,David,Taylor,d.taylor@email.com,07734 567890,2023-07-15,,525,525,Emma Thompson,Property Manager,emma.t@agency.com,509.9,50.99,0,0,0,458.91,,,,,,3/21/2023
2863,4/20/2023,5/15/2023,6/14/2023,8642097/210/20001,Sarah Henderson,sarah.henderson@email.com,07700 900102,"12 Queen Street, Edinburgh, EH2 1AB",Sarah Henderson,Royal Bank of Scotland,23456789,83-22-33,"38 Arranview Street, ML6 8XN",Terraced,38 Arranview Street,Airdrie,ML6 8XN,3,David,Taylor,d.taylor@email.com,07734 567890,2023-07-15,,525,525,Emma Thompson,Property Manager,emma.t@agency.com,525,52.5,0,0,0,472.5,,,,,,4/20/2023
3892,5/26/2023,6/15/2023,7/14/2023,8642097/210/20001,Sarah Henderson,sarah.henderson@email.com,07700 900102,"12 Queen Street, Edinburgh, EH2 1AB",Sarah Henderson,Royal Bank of Scotland,23456789,83-22-33,"38 Arranview Street, ML6 8XN",Terraced,38 Arranview Street,Airdrie,ML6 8XN,3,David,Taylor,d.taylor@email.com,07734 567890,2023-07-15,,525,525,Emma Thompson,Property Manager,emma.t@agency.com,525,52.5,0,0,45,427.5,,,,,missing payment,5/26/2023
3920,6/20/2023,7/15/2023,8/14/2023,8642097/210/20001,Sarah Henderson,sarah.henderson@email.com,07700 900102,"12 Queen Street, Edinburgh, EH2 1AB",Sarah Henderson,Royal Bank of Scotland,23456789,83-22-33,"38 Arranview Street, ML6 8XN",Terraced,38 Arranview Street,Airdrie,ML6 8XN,3,David,Taylor,d.taylor@email.com,07734 567890,2023-07-15,,525,525,Emma Thompson,Property Manager,emma.t@agency.com,525,52.5,0,0,0,472.5,,,,,,6/20/2023
4941,7/18/2023,8/15/2023,9/14/2023,8642097/210/20001,Sarah Henderson,sarah.henderson@email.com,07700 900102,"12 Queen Street, Edinburgh, EH2 1AB",Sarah Henderson,Royal Bank of Scotland,23456789,83-22-33,"38 Arranview Street, ML6 8XN",Terraced,38 Arranview Street,Airdrie,ML6 8XN,3,David,Taylor,d.taylor@email.com,07734 567890,2023-07-15,,525,525,Emma Thompson,Property Manager,emma.t@agency.com,525,52.5,0,0,0,472.5,,,,,,7/18/2023
5025,9/19/2023,8/15/2023,10/14/2023,8642097/210/20001,Sarah Henderson,sarah.henderson@email.com,07700 900102,"12 Queen Street, Edinburgh, EH2 1AB",Sarah Henderson,Royal Bank of Scotland,23456789,83-22-33,"38 Arranview Street, ML6 8XN",Terraced,38 Arranview Street,Airdrie,ML6 8XN,3,David,Taylor,d.taylor@email.com,07734 567890,2023-07-15,,525,525,Emma Thompson,Property Manager,emma.t@agency.com,1050,105,0,0,0,945,,,,,,9/19/2023
5059,10/24/2023,10/15/2023,11/14/2023,8642097/210/20001,Sarah Henderson,sarah.henderson@email.com,07700 900102,"12 Queen Street, Edinburgh, EH2 1AB",Sarah Henderson,Royal Bank of Scotland,23456789,83-22-33,"38 Arranview Street, ML6 8XN",Terraced,38 Arranview Street,Airdrie,ML6 8XN,3,David,Taylor,d.taylor@email.com,07734 567890,2023-07-15,,525,525,Emma Thompson,Property Manager,emma.t@agency.com,525,52.5,0,0,0,472.5,,,,,,10/24/2023
6043,11/21/2023,11/15/2023,12/14/2023,8642097/210/20001,Sarah Henderson,sarah.henderson@email.com,07700 900102,"12 Queen Street, Edinburgh, EH2 1AB",Sarah Henderson,Royal Bank of Scotland,23456789,83-22-33,"38 Arranview Street, ML6 8XN",Terraced,38 Arranview Street,Airdrie,ML6 8XN,3,David,Taylor,d.taylor@email.com,07734 567890,2023-07-15,,525,525,Emma Thompson,Property Manager,emma.t@agency.com,525,52.5,0,0,0,472.5,,,,,,11/21/2023
7069,12/20/2023,12/15/2023,1/14/2024,8642097/210/20001,Sarah Henderson,sarah.henderson@email.com,07700 900102,"12 Queen Street, Edinburgh, EH2 1AB",Sarah Henderson,Royal Bank of Scotland,23456789,83-22-33,"38 Arranview Street, ML6 8XN",Terraced,38 Arranview Street,Airdrie,ML6 8XN,3,David,Taylor,d.taylor@email.com,07734 567890,2023-07-15,,525,525,Emma Thompson,Property Manager,emma.t@agency.com,525,52.5,0,0,0,472.5,,,,,,12/20/2023
8072,1/17/2024,1/15/2024,2/14/2024,8642097/210/20001,Sarah Henderson,sarah.henderson@email.com,07700 900102,"12 Queen Street, Edinburgh, EH2 1AB",Sarah Henderson,Royal Bank of Scotland,23456789,83-22-33,"38 Arranview Street, ML6 8XN",Terraced,38 Arranview Street,Airdrie,ML6 8XN,3,David,Taylor,d.taylor@email.com,07734 567890,2023-07-15,,525,525,Emma Thompson,Property Manager,emma.t@agency.com,525,52.5,0,0,0,472.5,,,,,,1/17/2024
8104,2/19/2024,2/15/2024,3/14/2024,8642097/210/20001,Sarah Henderson,sarah.henderson@email.com,07700 900102,"12 Queen Street, Edinburgh, EH2 1AB",Sarah Henderson,Royal Bank of Scotland,23456789,83-22-33,"38 Arranview Street, ML6 8XN",Terraced,38 Arranview Street,Airdrie,ML6 8XN,3,David,Taylor,d.taylor@email.com,07734 567890,2023-07-15,,525,525,Emma Thompson,Property Manager,emma.t@agency.com,525,52.5,0,0,0,472.5,,,,,,2/19/2024
8134,3/19/2024,3/15/2024,4/14/2024,8642097/210/20001,Sarah Henderson,sarah.henderson@email.com,07700 900102,"12 Queen Street, Edinburgh, EH2 1AB",Sarah Henderson,Royal Bank of Scotland,23456789,83-22-33,"38 Arranview Street, ML6 8XN",Terraced,38 Arranview Street,Airdrie,ML6 8XN,3,David,Taylor,d.taylor@email.com,07734 567890,2023-07-15,,525,525,Emma Thompson,Property Manager,emma.t@agency.com,525,52.5,0,0,0,472.5,,,,,,3/19/2024
9151,4/23/2024,4/15/2024,5/14/2024,8642097/210/20001,Sarah Henderson,sarah.henderson@email.com,07700 900102,"12 Queen Street, Edinburgh, EH2 1AB",Sarah Henderson,Royal Bank of Scotland,23456789,83-22-33,"38 Arranview Street, ML6 8XN",Terraced,38 Arranview Street,Airdrie,ML6 8XN,3,David,Taylor,d.taylor@email.com,07734 567890,2023-07-15,,525,525,Emma Thompson,Property Manager,emma.t@agency.com,525,52.5,0,0,0,472.5,,,,,,4/23/2024
9178,5/17/2024,5/15/2024,6/14/2024,8642097/210/20001,Sarah Henderson,sarah.henderson@email.com,07700 900102,"12 Queen Street, Edinburgh, EH2 1AB",Sarah Henderson,Royal Bank of Scotland,23456789,83-22-33,"38 Arranview Street, ML6 8XN",Terraced,38 Arranview Street,Airdrie,ML6 8XN,3,David,Taylor,d.taylor@email.com,07734 567890,2023-07-15,,525,525,Emma Thompson,Property Manager,emma.t@agency.com,525,52.5,0,0,0,472.5,,,,,,5/17/2024
9202,6/18/2024,6/15/2024,7/14/2024,8642097/210/20001,Sarah Henderson,sarah.henderson@email.com,07700 900102,"12 Queen Street, Edinburgh, EH2 1AB",Sarah Henderson,Royal Bank of Scotland,23456789,83-22-33,"38 Arranview Street, ML6 8XN",Terraced,38 Arranview Street,Airdrie,ML6 8XN,3,David,Taylor,d.taylor@email.com,07734 567890,2023-07-15,,525,525,Emma Thompson,Property Manager,emma.t@agency.com,525,52.5,0,0,0,472.5,,,,,,6/18/2024
9222,7/24/2024,7/15/2024,8/14/2024,8642097/210/20001,Sarah Henderson,sarah.henderson@email.com,07700 900102,"12 Queen Street, Edinburgh, EH2 1AB",Sarah Henderson,Royal Bank of Scotland,23456789,83-22-33,"38 Arranview Street, ML6 8XN",Terraced,38 Arranview Street,Airdrie,ML6 8XN,3,David,Taylor,d.taylor@email.com,07734 567890,2023-07-15,,525,525,Emma Thompson,Property Manager,emma.t@agency.com,525,52.5,0,0,0,472.5,,,,,,7/24/2024
9259,8/19/2024,8/15/2024,9/14/2024,8642097/210/20001,Sarah Henderson,sarah.henderson@email.com,07700 900102,"12 Queen Street, Edinburgh, EH2 1AB",Sarah Henderson,Royal Bank of Scotland,23456789,83-22-33,"38 Arranview Street, ML6 8XN",Terraced,38 Arranview Street,Airdrie,ML6 8XN,3,David,Taylor,d.taylor@email.com,07734 567890,2023-07-15,,525,525,Emma Thompson,Property Manager,emma.t@agency.com,525,52.5,0,0,0,472.5,,,,,,8/16/2024
9287,9/17/2024,10/14/2024,11/13/2024,8642097/210/20001,Sarah Henderson,sarah.henderson@email.com,07700 900102,"12 Queen Street, Edinburgh, EH2 1AB",Sarah Henderson,Royal Bank of Scotland,23456789,83-22-33,"38 Arranview Street, ML6 8XN",Terraced,38 Arranview Street,Airdrie,ML6 8XN,3,David,Taylor,d.taylor@email.com,07734 567890,2023-07-15,,525,525,Emma Thompson,Property Manager,emma.t@agency.com,525,52.5,0,0,0,472.5,,,,,,9/17/2024
9314,10/22/2024,10/15/2024,11/14/2024,8642097/210/20001,Sarah Henderson,sarah.henderson@email.com,07700 900102,"12 Queen Street, Edinburgh, EH2 1AB",Sarah Henderson,Royal Bank of Scotland,23456789,83-22-33,"38 Arranview Street, ML6 8XN",Terraced,38 Arranview Street,Airdrie,ML6 8XN,3,David,Taylor,d.taylor@email.com,07734 567890,2023-07-15,,525,525,Emma Thompson,Property Manager,emma.t@agency.com,525,52.5,0,0,0,472.5,,,,,,10/22/2024
9334,11/19/2024,11/15/2024,12/14/2024,8642097/210/20001,Sarah Henderson,sarah.henderson@email.com,07700 900102,"12 Queen Street, Edinburgh, EH2 1AB",Sarah Henderson,Royal Bank of Scotland,23456789,83-22-33,"38 Arranview Street, ML6 8XN",Terraced,38 Arranview Street,Airdrie,ML6 8XN,3,David,Taylor,d.taylor@email.com,07734 567890,2023-07-15,,525,525,Emma Thompson,Property Manager,emma.t@agency.com,525,52.5,255,0,0,217.5,Spark Electric,Mary Johnson,0141 445 2222,Electrical,Install new Oven,11/19/2024
9348,11/19/2024,11/15/2024,12/14/2024,8642097/210/20001,Sarah Henderson,sarah.henderson@email.com,07700 900102,"12 Queen Street, Edinburgh, EH2 1AB",Sarah Henderson,Royal Bank of Scotland,23456789,83-22-33,"38 Arranview Street, ML6 8XN",Terraced,38 Arranview Street,Airdrie,ML6 8XN,3,David,Taylor,d.taylor@email.com,07734 567890,2023-07-15,,525,525,Emma Thompson,Property Manager,emma.t@agency.com,525,52.5,255,0,0,217.5,Spark Electric,Mary Johnson,0141 445 2222,Electrical,Install new Oven,11/12/2024
